Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
TOPAZ KAMA,160924,9811593,TOPAZ KAMA,UFKZ,Astrakhan,Russia,KM* R2 AUT1,,General cargo,07/12/2017,Vietnam,863,,,3183 MK-1969,955 MK-1969,2969.000 t.,5260 t.,123.00 m.,123.00 m.,118.00 m.,16.70 m.,5.58 m.,3.00 m.,10.0,Diesel-Ele,Built ME: 2017 Country Construction: United States of America The company has built ME: The number and power of ME: 3*994 Mark ME: C32,,2 - Swingning propeller unit,5,3* 940,,,,,"Automatic identification system Automatic identification system with GLONASS Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon COSPAS-SARSAT Satellite emergency position-indicating radio beacon with GLONASS Depth sounder Digital selective calling receiver Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Ship security alert system with GLONASS Sound reception system Transmitting Heading Device Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station Voyage data recorder",,,,,1,6,,,,,,,280,Diesel oil,5099 m3,,891,Cat3,40.0,"BUE BULKERS LTD  Address: 19, Canning Street, Exchange Tower, Edinburgh, Scotland IMO: 5035534 Email: Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:"
АНШУКОВ,180434,,,UBBS4,Arkhangelsk,Russia,KM(*) Ice2 R3 tug,,Tug,29/05/2019,Russia,503216,,,43,12,17.000 t.,94 t.,16.76 m.,16.76 m.,14.83 m.,5.94 m.,2.55 m.,2.09 m.,13.5,Diesel,Built ME: 2018 Country Construction: Sweden The company has built ME: AB VOLVO PENTA The number and power of ME: 2*441 Mark ME:,,2 - Fixed pitched solid propeller,3,1* 28,,,,,,,,,,1,3,,,,,,,12,Diesel oil,,,52,Cat2,12.5,"""PRODUCTION ASSOCIATION ""NORTH MACHINE-BUILDING ENTERPRISE"", JOINT-STOCK COMPANY  Address: Russia, 164500 Severodvinsk, Arkhangelskoe shosse, 58 IMO: Email: smp@sevmash.ru Company Website: www.sevmash.ru","""PRODUCTION ASSOCIATION ""NORTH MACHINE-BUILDING ENTERPRISE"", JOINT-STOCK COMPANY  Address: Russia, 164500 Severodvinsk, Arkhangelskoe shosse, 58 IMO: Email: smp@sevmash.ru Company Website: www.sevmash.ru",,,
SHUVALAN,071307,9416472,HILDE K,4JRZ,Baku,Azerbaijan,"KM* FF3WS Anchor handling vessel, Tug, Supply vessel (OS)",,Tug/Supply vessel (OSRV),01/01/2008,Indonesia,Р097231,,,1763 MK-1969,529 MK-1969,1824.000 t.,,60.00 m.,60.00 m.,54.10 m.,16.00 m.,6.00 m.,5.10 m.,13.0,Diesel,Built ME: Country Construction: Japan The company has built ME: The number and power of ME: 2*2237 Mark ME: 6MG28BXF,,2 - Controllable pitch propeller,5,2* 370,,,,,Automatic radar plotting aids COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) Radar Radio navigation system receiver VHF Radioinstallation (VHF radio-telephone station with digital selective calling),,,,,1,11,,,,,,,550,Diesel oil,834 m3,,650,Cat2,38.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:","""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:","""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,
OKEAN-1,897696,2636774,TOYOTOMI MARU NO.1,UBVQ7,Nevelsk,Russia,(KM)* R1 fishing vessel,,Fishing,29/06/1989,Japan,267,,,149 MK-1969,44 MK-1969,75.000 t.,318 t.,32.87 m.,-,27.48 m.,7.75 m.,2.76 m.,2.57 m.,12.5,Diesel,Built ME: 1998 Country Construction: Japan The company has built ME: The number and power of ME: 1*698 Mark ME: 6M26AFTE,,1 - Controllable pitch propeller,4,1* 80,,,-5,R22,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,,,,Р 1 - 1.4*1.4Р 1 - 1.4*0.9,,,48,Diesel oil,,,108,Cat1,16.0,"OOO ""PRIBOY-VOSTOK""  Address: Russia, 693012 Sakhalinskaya obl., Yuzhno-Sakhalinsk, Kraynyaya ul., d. 50 IMO: Email: Nikolaenko_pavel@mail.ru Company Website:","OOO ""PRIBOY-VOSTOK""  Address: Russia, 693012 Sakhalinskaya obl., Yuzhno-Sakhalinsk, Kraynyaya ul., d. 50 IMO: Email: Nikolaenko_pavel@mail.ru Company Website:","OOO ""PRIBOY-VOSTOK""  Address: Russia, 693012 Sakhalinskaya obl., Yuzhno-Sakhalinsk, Kraynyaya ul., d. 50 IMO: Email: Nikolaenko_pavel@mail.ru Company Website:",,
OKEAN-2,914711,2638887,TOYOTOMI MARU NO.26,UBVQ6,Nevelsk,Russia,(KM)* R1 fishing vessel,,Fishing,20/01/1992,Japan,275,,,149 MK-1969,44 MK-1969,78.000 t.,319 t.,32.87 m.,-,27.48 m.,7.75 m.,2.76 m.,2.57 m.,12.5,Diesel,Built ME: 1991 Country Construction: Japan The company has built ME: The number and power of ME: 1*698 Mark ME: 6M26AFTE,,1 - Controllable pitch propeller,4,1* 80,,,-5,R22,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,,,,D 1 - 1.4*1.4D 1 - 1.4*0.9,,,47,Diesel oil,,,108,Cat1,16.0,"OOO ""PRIBOY-VOSTOK""  Address: Russia, 693012 Sakhalinskaya obl., Yuzhno-Sakhalinsk, Kraynyaya ul., d. 50 IMO: Email: Nikolaenko_pavel@mail.ru Company Website:","OOO ""PRIBOY-VOSTOK""  Address: Russia, 693012 Sakhalinskaya obl., Yuzhno-Sakhalinsk, Kraynyaya ul., d. 50 IMO: Email: Nikolaenko_pavel@mail.ru Company Website:","OOO ""PRIBOY-VOSTOK""  Address: Russia, 693012 Sakhalinskaya obl., Yuzhno-Sakhalinsk, Kraynyaya ul., d. 50 IMO: Email: Nikolaenko_pavel@mail.ru Company Website:",,
TOPAZ SVIR,160939,9812212,TOPAZ SVIR,UBTG,Astrakhan,Russia,KM* R2 AUT1,,General cargo,12/04/2018,Romania,858,,,3183 MK-1969,955 MK-1969,2943.000 t.,5289 t.,123.00 m.,123.00 m.,118.12 m.,16.70 m.,5.58 m.,3.00 m.,10.0,Diesel-Ele,Built ME: 2017 Country Construction: United States of America The company has built ME: The number and power of ME: 3*994 Mark ME: C32,2* 1200,2 - Swingning propeller unit,5,3* 939,,,,,"Automatic identification system Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Sound reception system Two-way radio-telephone apparatus VHF radio-telephone station Voyage data recorder",,,,,1,6,,,,,,,276,Diesel oil,4694 m3,,891,Cat3,40.0,"BUE BULKERS LTD  Address: 19, Canning Street, Exchange Tower, Edinburgh, Scotland IMO: 5035534 Email: Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:"
ZIRA,071311,9416496,NEFTQAZ III,4JSA,Baku,Azerbaijan,"KM* AUT1 Anchor handling vessel, Tug, Supply vessel (OS)",,Tug/Supply vessel (OSRV),14/03/2009,Indonesia,P 097271,,,1763 MK-1969,529 MK-1969,1805.000 t.,,60.00 m.,60.00 m.,54.10 m.,16.00 m.,6.00 m.,5.10 m.,13.0,Diesel-Ele,Built ME: 2007 Country Construction: Japan The company has built ME: The number and power of ME: 2*2237 Mark ME:,,2 - Controllable pitch propeller,4,2* 370,,,,,"Automatic identification system Automatic radar plotting aids COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,11,,,,,,,561,Diesel oil,846 m3,,,Cat2,38.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:","""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:","""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,
MELKART-5,951138,9130183,KONGSFJORD,UBYQ2,Murmansk,Russia,KM* Ice2 fishing vessel,,Fishing,01/03/1996,Norway,117,,,1600 MK-1969,481 MK-1969,544.000 t.,2209 t.,53.20 m.,53.20 m.,46.20 m.,13.46 m.,8.12 m.,5.62 m.,13.0,Diesel,Built ME: 1995 Country Construction: United States of America The company has built ME: The number and power of ME: 1*3235 Mark ME:,,1 - Controllable pitch propeller,4,1* 1800 1* 715,,,-28,R717,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,1* 750,,,2,4,,,,,,,338,,0 m3,,,Cat2,36.0,"MURMAN SEAFOOD CO LTD  Address: Russia, 183038 Murmansk, ul. Karla Marksa, 28 IMO: 5113702 Email: fleet@msf.mels.ru Company Website:","MURMAN SEAFOOD CO LTD  Address: Russia, 183038 Murmansk, ul. Karla Marksa, 28 IMO: 5113702 Email: fleet@msf.mels.ru Company Website:",,,
M350,051138,,,,Korsakov,Russia,(K)* R3 hopper barge,,Hopper Barge,25/05/2005,Japan,16-S-117,,,292,89,638.000 t.,818 t.,35.00 m.,35.00 m.,35.00 m.,9.00 m.,3.20 m.,,,Non-propel,,,,,1* 2,,,,,,1*350,,,,1,,,,,,,,,,,,,Cat3,28.0,"""ROSMORPORT"", FEDERAL STATE UNITARY ENTERPRISE  Address: Russia, 694020 Korsakov, ul. Portovaya, 13/2 IMO: Email: mail@skl.rosmorport.ru Company Website:",,,,
LEADER,980889,9207211,ENTERPRISE,UBQR6,Nakhodka,Russia,KM* (REF) fishing vessel,,Fishing,05/03/1999,Norway,11,,,1686 MK-1969,505,2118.000 t.,3571 t.,58.60 m.,58.60 m.,51.30 m.,14.00 m.,8.35 m.,7.10 m.,14.0,Diesel,Built ME: 1998 Country Construction: Finland The company has built ME: The number and power of ME: 1*6210 Mark ME: 16V32/40,,,,2* 500 1* 1950,,,,R22,"Automatic identification system with GLONASS Automatic radar plotting aids COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,10* 1582,10* 1582,,2,5,,,,Р 5 - 1.5*1.5Р 5 - 1.5*1.5,,,,Diesel oil,220 m3,ПТ,525,Cat2,34.0,"RK ""PASIFIK MARIN"" LLC  Address: Russia, 690091 Primorskiy kray, g Vladivostok, ul. Pologaya, d. 53, kabinet 116. IMO: Email: asavichev@list.ru Company Website:","RK ""PASIFIK MARIN"" LLC  Address: Russia, 690091 Primorskiy kray, g Vladivostok, ul. Pologaya, d. 53, kabinet 116. IMO: Email: asavichev@list.ru Company Website:","""NAKHODKA ACTIVE MARINE FISHERY BASE"", PJSC  Address: Russia, 692911 Nakhodka, ul. Makarova, d. 5 IMO: 1316095 Email: info@bamr.ru Company Website: www.bamr.ru",,
CHAMPION,980893,9184627,PACIFIC CHAMPION,UBUR6,Vladivostok,Russia,KM* Ice1 (REF) fishing vessel,,Fishing,27/05/1999,Norway,17,,,1682 MK-1969,504 MK-1969,2352.000 t.,3874 t.,57.80 m.,57.80 m.,51.30 m.,14.00 m.,8.35 m.,7.56 m.,14.0,Diesel,Built ME: 1998 Country Construction: Finland The company has built ME: The number and power of ME: 1*7360 Mark ME: W16V32E2,,,,3* 590 1* 2000,,,,R22,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,1* 157,10* 1552,,1,7,,,,D 6 - 1.5*1.5D 4 - 1.5*1.5,,,495,Diesel oil,,,947,Cat3,34.0,"""Pasifik Marin Shiplend"" CJSC  Address: Russia, 690091 Primorskiy kr., Vladivostok, pereul. Shevchenko, d. 4, of. 504 IMO: Email: pm@dmp.ru Company Website:","""Pasifik Marin Shiplend"" CJSC  Address: Russia, 690091 Primorskiy kr., Vladivostok, pereul. Shevchenko, d. 4, of. 504 IMO: Email: pm@dmp.ru Company Website:",,,
N-0165-РУСАЛКА,877847,,N-0165,,Petropavlovsk-Kamchatskiy,Russia,(K)* R3,,General cargo/Barge,01/06/1987,"Korea, DPR",,,,66,19,70.000 t.,123 t.,24.80 m.,24.80 m.,23.80 m.,6.50 m.,2.20 m.,1.23 m.,,Non-propel,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,"RYBKHOLKAM LTD  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Atlasova, d. 23 IMO: Email: Company Website:","RYBKHOLKAM LTD  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Atlasova, d. 23 IMO: Email: Company Website:",,,
SUNKAR,160943,9814545,,UNIO,Aktau,Kazakhstan,KM* R2 AUT1,,General cargo,16/01/2018,Romania,854,,,4382 MK-1969,1315 MK-1969,5201.000 t.,,113.01 m.,113.01 m.,108.45 m.,21.24 m.,6.50 m.,4.00 m.,,,Built ME: 2017 Country Construction: United States of America The company has built ME: The number and power of ME: 3*994 Mark ME: C32,2* 1200,2 - Swingning propeller unit,4,,,,,,"Automatic identification system Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Rate of turn indicator Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Sound reception system Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",,,,,4,11,,,,,,,352,,6709 m3,,1790,Cat2,66.0,"""National Maritime Shipping Company ""Kazmortransflot"" Limited Liability Partnership  Address: Kazakhstan, 130000 Aktau, mkrn. 14, zd. № 70 IMO: 5176886 Email: info@kmtf.kz Company Website:",,,"""National Maritime Shipping Company ""Kazmortransflot"" Limited Liability Partnership  Address: Kazakhstan, 130000 Aktau, mkrn. 14, zd. № 70 IMO: 5176886 Email: info@kmtf.kz Company Website:",
ВЫМПЕЛ,180449,9871880,,UBGU9,Murmansk,Russia,KM(*) Ice3 R1 fishing vessel,,Fishing,07/12/2020,Russia,02921,,,428,128,161.000 t.,586 t.,36.18 m.,36.18 m.,,9.00 m.,3.60 m.,3.00 m.,11.0,Diesel,,,2 - Controllable pitch propeller,4,2* 200,,,,,,,,,,2,5,,,,,,,,Diesel oil,,,,Cat2,20.5,"KARELFISH CO LTD  Address: Russia, 183038 Murmansk, ul. Tralovaya, d. 71, 2 etazh IMO: 1719831 Email: karelfish@mail.ru Company Website:","KARELFISH CO LTD  Address: Russia, 183038 Murmansk, ul. Tralovaya, d. 71, 2 etazh IMO: 1719831 Email: karelfish@mail.ru Company Website:",,,
SHPITCBERGEN,010638,9258741,BRIMNES,UBBR4,Murmansk,Russia,KM* Ice3 AUT1 fishing vessel,,Fishing,17/01/2003,Norway,76,,,2848 MK-1969,854 MK-1969,1183.000 t.,3777 t.,70.10 m.,-,61.80 m.,14.96 m.,8.80 m.,6.01 m.,12.0,Diesel,Built ME: 2002 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 1*6000 Mark ME: 12V32,,1 - Controllable pitch propeller,4,,,,,R717,"Automatic identification system Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver GMDSS ship earth station Gyro-compass Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,1* 1335,,,2,4,,,,,,,757,"Diesel oil, Heavy oil",,,688,Cat2,40.0,"""KARAT-1"", JOINT STOCK COMPANY  Address: Russia, 183038 Murmansk, ul. Shmidta, d. 43, of. 521 IMO: Email: info.rpi@norebo.ru Company Website:","""KARAT-1"", JOINT STOCK COMPANY  Address: Russia, 183038 Murmansk, ul. Shmidta, d. 43, of. 521 IMO: Email: info.rpi@norebo.ru Company Website:","""KARAT-1"", JOINT STOCK COMPANY  Address: Russia, 183038 Murmansk, ul. Shmidta, d. 43, of. 521 IMO: Email: info.rpi@norebo.ru Company Website:",,
П/К-2006,101748,,,,Petropavlovsk-Kamchatskiy,Russia,(K)* R3,,General cargo/Barge,01/01/2010,Russia,,,,63,18,76.000 t.,,24.80 m.,24.80 m.,23.76 m.,6.50 m.,2.20 m.,,,Non-propel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OKTYABRSKIY RYBOKOMBINAT LTD  Address: Russia, 683000 Petropavlovsk-Kamchatskiy, ul. Toporkova, 10 IMO: Email: okt.rk61@mail.ru Company Website:","OKTYABRSKIY RYBOKOMBINAT LTD  Address: Russia, 683000 Petropavlovsk-Kamchatskiy, ul. Toporkova, 10 IMO: Email: okt.rk61@mail.ru Company Website:",,,
TOPAZ TOBOL,160958,9812224,TOPAZ TOBOL,UFPF,Astrakhan,Russia,KM* R2 AUT1,,General cargo,29/05/2018,Romania,859,,,3183 MK-1969,955 MK-1969,2946.000 t.,5289 t.,123.00 m.,123.00 m.,118.09 m.,16.70 m.,5.60 m.,3.00 m.,10.0,Diesel-Ele,Built ME: 2017 Country Construction: United States of America The company has built ME: The number and power of ME: 3*994 Mark ME: C32,2* 1200,2 - Swingning propeller unit,5,3* 939,,,,,"Automatic identification system Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Sound reception system Two-way radio-telephone apparatus VHF radio-telephone station Voyage data recorder",,,,,1,6,,,,,,,276,Diesel oil,4694 m3,,891,Cat3,40.0,"BUE BULKERS LTD  Address: 19, Canning Street, Exchange Tower, Edinburgh, Scotland IMO: 5035534 Email: Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:"
JUPITER,785842,7712937,JUPITER,UBBR3,Vladivostok,Russia,KM* Ice1 fishing vessel,1984-01-19 Удлинение судна путем установки цилиндрической вставки,Fishing,01/09/1978,Norway,,,,1201 MK-1969,496 MK-1969,1656.000 t.,3049 t.,68.65 m.,68.43 m.,61.97 m.,10.80 m.,7.70 m.,6.79 m.,12.5,Diesel,,,1 - Controllable pitch propeller,4,2* 290 1* 430 1* 936,,,-1,R22,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",1*132,9* 1550,,,5,6,,,,,,,314,Diesel oil,0 m3,,,Cat2,30.0,"ANTEY, LLC  Address: Russia, 690039 Vladivostok, ul. Eniseyskaya, d.23D, pom.7 (4 etazh). IMO: 1678615 Email: office@crabfish.ru Company Website:","ANTEY, LLC  Address: Russia, 690039 Vladivostok, ul. Eniseyskaya, d.23D, pom.7 (4 etazh). IMO: 1678615 Email: office@crabfish.ru Company Website:","ANTEY, LLC  Address: Russia, 690039 Vladivostok, ul. Eniseyskaya, d.23D, pom.7 (4 etazh). IMO: 1678615 Email: office@crabfish.ru Company Website:",,
