,Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
93,ЛОЦМАН ВАРАКИН,190057,,,,Astrakhan,Russia,KM(*) L3 [1] R3,,Pilot,15/05/1980,USSR,,,,64 MK-1969,0,12.000 t.,86 t.,23.10 m.,23.10 m.,19.68 m.,5.80 m.,2.80 m.,1.80 m.,12.0,Diesel,"Built ME: 2013 Country Construction: Russia The company has built ME: ""MAMINS VOLGA DIESEL PLANT"", JOINT-STOCK COMPANY The number and power of ME: 2*220 Mark ME: WD618C-22",,2 - Fixed pitched solid propeller,4,,,,,,"Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,3,,,,9,Diesel oil,0 m3,,50,Cat1,16.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","""ROSMORPORT"", FEDERAL STATE UNITARY ENTERPRISE  Address: Russia, 414016 Astrakhany, ul. Kapitana Krasnova, d. 31 IMO: Email: rmp@astranet.ru Company Website:",,,
94,JAMIL NIFTALIYEV,140033,,,JAMIL NIFT,Baku,Azerbaijan,KM(*) [1] R3,,Fire-fighting vessel,08/07/1987,USSR,,,,35,10,5.000 t.,0 t.,21.00 m.,21.00 m.,19.46 m.,4.00 m.,2.25 m.,0.00 m.,0.0,Diesel,"Built ME: 1997 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*220 Mark ME: 12CHSP 15/18",,1 - Fixed pitched solid propeller,4,1* 16,,,,,COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass VHF Radioinstallation (VHF radio-telephone station with digital selective calling),,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:","""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,,
95,JALGAN-10,140187,,,JALGAN-10,Baku,Azerbaijan,KM* R3,,Tender,27/12/1984,Russia,,,,40,0,5.000 t.,0 t.,21.00 m.,21.00 m.,0.00 m.,3.00 m.,2.00 m.,0.00 m.,0.0,Diesel,"Built ME: 1984 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 3D6S",,1 - Fixed pitched solid propeller,4,,,,,,Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass VHF Radioinstallation (VHF radio-telephone station with digital selective calling),,,,,0,0,0,0,0,,,,0,Diesel oil,0 m3,,0,Cat1,13.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,,,
96,МЗ-135,190019,,,,Makhachkala,Russia,KM(*) Ice2 R3,,Tug/Anchor-handling vessel,26/07/1966,USSR,135,,,57,0,11.000 t.,80 t.,20.26 m.,20.26 m.,19.10 m.,6.30 m.,1.80 m.,1.03 m.,9.0,Diesel,Built ME: 2007 Country Construction: China The company has built ME: The number and power of ME: 2*110 Mark ME: TBD226B-6C,,2 - Fixed pitched solid propeller,3,1* 13 2* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,,,,1,4,0,0,0,,,,0,,0 m3,,70,Cat1,15.0,"""Rosmorport"", Federal State Unitery Enterprise  Address: Russia, 127055 Moscow, ul. Sushchevskaya, d. 19, str. 7 IMO: 5119485 Email: hq@rosmorport.ru Company Website: www.rosmorport.ru","""ROSMORPORT"", Federal State Unitary Enterprise  Address: Russia, 367012 Respublika Dagestan, Makhachkala, ul. Portovoe shosse, d. 5 IMO: Email: docs@mcl.rosmoport.ru Company Website:",,,
97,ЛОЦМАН ЧЕМАКИН,190020,,ЛК-32,,Arkhangelsk,Russia,KM(*) R3,,Tender,01/06/1967,USSR,32,,,51 MK-1969,15,10.000 t.,0 t.,18.29 m.,-,17.60 m.,4.60 m.,2.52 m.,1.49 m.,10.5,Diesel,"Built ME: 1988 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*220 Mark ME: 3D12",,1 - Fixed pitched solid propeller,4,1* 10 1* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,,,,1,5,0,0,0,,,,0,,0 m3,,45,Cat1,13.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","FSBI ""Western Arctic MPA""  Address: Russia, 183034 Murmansk, Portovyy proezd, d. 1 IMO: Email: master@mapm.ru Company Website: www.mapm.ru","Branch of FSBI ""Western Arctic MPA"" in the maritime port of Arkhangelsk  Address: Russia, 183034 Murmansk, Portovyy pr., d. 1 IMO: Email: office@arh.mapm.ru Company Website: www.mapm.ru",,
98,МЕТЕЛЬ,190024,,,UFPI,Arkhangelsk,Russia,KM(*) [1] R1,,Salvage vessel,31/12/1981,USSR,,,,98 MK-1969,33 MK-1969,8.000 t.,93 t.,27.15 m.,27.15 m.,23.50 m.,6.81 m.,3.41 m.,1.60 m.,17.5,Diesel,"Built ME: 1980 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*221 Mark ME: 3D12 A1Built ME: 1980 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 2*736 Mark ME: M401 V1",,3 - Fixed pitched solid propeller,3,2* 30,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder GMDSS ship earth station Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Search and Rescue Radar Transpoder, AIS Search and Rescue Transmitting Heading Device Two-way radio-telephone apparatus Two-way VHF radiotelephone apparatus for communication with aircraft VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,5,0,40,0,,,,0,,0 m3,,70,Cat1,15.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","Federal State Budgetary Institution ""Marine Rescue Service""  Address: Russia, 125993 Moscow, ul. Petrovka, 3/6 IMO: 5715105 Email: info@morspas.com Company Website: morspas.com","The Baltic Branch of MRS  Address: Russia, 198096 St.Petersburg, Elevatornaya ploshchadka, d.1 IMO: Email: info_balt@morspas.com; otof_balt@morspas.com Company Website:",,
99,МЗ-150,190063,,,,Arkhangelsk,Russia,KM(*) R3,,Tug/Anchor-handling vessel,13/10/1969,USSR,150,,,57 MK-1969,17 MK-1969,13.000 t.,80 t.,20.26 m.,20.26 m.,19.50 m.,6.30 m.,1.81 m.,1.03 m.,9.0,Diesel,"Built ME: 1985 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 2*110 Mark ME: 3D6S",,2 - Fixed pitched solid propeller,3,1* 13 2* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radar Search and Rescue Radar Transpoder, AIS Search and Rescue VHF radio-telephone station",,,,,1,4,0,0,0,,1*4.0,,0,,0 m3,,70,Cat1,15.0,"""Rosmorport"", Federal State Unitery Enterprise  Address: Russia, 127055 Moscow, ul. Sushchevskaya, d. 19, str. 7 IMO: 5119485 Email: hq@rosmorport.ru Company Website: www.rosmorport.ru","""ROSMORPORT"", ARKHANGELSK BRANCH OF FEDERAL STATE UNITARY ENTERPRISE  Address: Russia, 163000 Arkhangelsk, ulitsa Karla Libknekhta, 34 IMO: Email: mail@ark.rosmorport.ru Company Website: www.rosmorport.ru/arf_contact.html",,,
100,GARADAG-7,140131,,,GARADAG-7,Baku,Azerbaijan,KM(*) L3 R2 tug,,Tug,14/04/1978,Russia,,,,68,0,15.000 t.,0 t.,23.00 m.,23.00 m.,0.00 m.,5.00 m.,2.00 m.,0.00 m.,0.0,,,,1 - Fixed pitched solid propeller,4,1* 14 1* 15,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,,,
101,СВЯТИТЕЛЬ НИКОЛАЙ,190003,,АЛЕКСАНДР ЕПИФАНОВ,,Arkhangelsk,Russia,KM(*) L3 [1] R3 OMBO passenger ship,,Passenger unberthed,09/11/1971,USSR,13,,,57,17,13.000 t.,0 t.,20.25 m.,20.25 m.,19.00 m.,5.10 m.,2.62 m.,1.57 m.,10.0,Diesel,"Built ME: 1980 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 3D6S",,1 - Fixed pitched solid propeller,4,1* 1,,,,,"Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus Two-way VHF radiotelephone apparatus for communication with aircraft VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,60,0,,,,3,Diesel oil,0 m3,,60,Cat1,15.0,"SPASO-PREOBRAZHENSK STAUROSPEGNYMIAL MONASTERY ON SOLOVETSK ISLANDS  Address: Russia, 164070 Arkhangelskaya oblast, p. Solovetskiy IMO: Email: office@solovki-monastyr.ru Company Website: www.solovki-monastyr.ru","SPASO-PREOBRAZHENSK STAUROSPEGNYMIAL MONASTERY ON SOLOVETSK ISLANDS  Address: Russia, 164070 Arkhangelskaya oblast, p. Solovetskiy IMO: Email: office@solovki-monastyr.ru Company Website: www.solovki-monastyr.ru",,,
102,BRIZ,190012,,ФЕДОР БАГРЕЦОВ,UBEF2,Murmansk,Russia,KM(*) L4 R3,,Tender,30/04/1977,Russia,75,,,57 MK-1969,17 MK-1969,11.000 t.,66 t.,21.80 m.,21.80 m.,18.31 m.,5.30 m.,2.62 m.,1.57 m.,9.5,Diesel,"Built ME: 1992 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 3D6S",,1 - Fixed pitched solid propeller,4,1* 12,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,,,,1,4,0,12,0,,,,3,,2 m3,,70,Cat1,13.0,"""MASCO"", JOINT-STOCK COMPANY  Address: Russia, 183038 Murmansk, ul. Privokzalnaya, d.26 IMO: 1884635 Email: ops@masco.ru Company Website: www.masco.ru","""MASCO"", JOINT-STOCK COMPANY  Address: Russia, 183038 Murmansk, ul. Privokzalnaya, d.26 IMO: 1884635 Email: ops@masco.ru Company Website: www.masco.ru",,,
103,СВЯТИТЕЛЬ ФИЛИПП,190060,,,,Arkhangelsk,Russia,KM(*) L3 [1] R3 OMBO passenger ship,,Passenger unberthed,15/11/1972,Russia,,,,57,17,13.000 t.,64 t.,21.40 m.,21.40 m.,19.03 m.,5.10 m.,2.62 m.,1.57 m.,10.0,Diesel,"Built ME: 2002 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*118 Mark ME: 3D6S",,1 - Fixed pitched solid propeller,4,1* 60,,,,,"Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus Two-way VHF radiotelephone apparatus for communication with aircraft VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,60,0,,,,3,Diesel oil,0 m3,,0,Cat1,15.0,"SPASO-PREOBRAZHENSK STAUROSPEGNYMIAL MONASTERY ON SOLOVETSK ISLANDS  Address: Russia, 164070 Arkhangelskaya oblast, p. Solovetskiy IMO: Email: office@solovki-monastyr.ru Company Website: www.solovki-monastyr.ru","SPASO-PREOBRAZHENSK STAUROSPEGNYMIAL MONASTERY ON SOLOVETSK ISLANDS  Address: Russia, 164070 Arkhangelskaya oblast, p. Solovetskiy IMO: Email: office@solovki-monastyr.ru Company Website: www.solovki-monastyr.ru",,,
104,JALGAN-4,140002,,,JALGAN-4,Baku,Azerbaijan,KM* R3,,Tender,19/03/1975,USSR,,,,40,0,12.000 t.,0 t.,21.00 m.,21.00 m.,0.00 m.,3.00 m.,2.00 m.,0.00 m.,0.0,Diesel,"Built ME: 2003 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*118 Mark ME:",,1 - Fixed pitched solid propeller,4,1* 13,,,,,COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass VHF Radioinstallation (VHF radio-telephone station with digital selective calling),,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,,,
105,ORION-17,140192,,,ORION-17,Baku,Azerbaijan,KM(*) [1] R3,,Tender,30/05/1987,Russia,,,,35,0,21.000 t.,0 t.,21.00 m.,21.00 m.,19.46 m.,4.00 m.,2.25 m.,1.45 m.,0.0,Diesel,"Built ME: 1991 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*221 Mark ME: 12CHSP 15/18",,1 - Fixed pitched solid propeller,4,1* 14,,,,,Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Digital selective calling receiver Magnetic compass Radar Radio navigation system receiver VHF Radioinstallation (VHF radio-telephone station with digital selective calling),,,,,3,1,0,0,0,,,,2,Diesel oil,0 m3,,30,Cat3,13.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:","""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,,
106,ORION-18,140160,,,ORION-18,Baku,Azerbaijan,KM(*) [1] R3,,Tender,29/06/1987,Russia,,,,35,0,21.000 t.,0 t.,21.00 m.,21.00 m.,0.00 m.,4.00 m.,2.00 m.,0.00 m.,0.0,Diesel,"Built ME: 1987 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*220 Mark ME: 3D12",,1 - Fixed pitched solid propeller,3,1* 16,,,,,Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radio navigation system receiver VHF Radioinstallation (VHF radio-telephone station with digital selective calling),,,,,0,0,0,0,0,,,,1,Diesel oil,0 m3,,0,Cat1,13.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:","""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,,
107,КАПИТАН МИТЯГИН,190037,,БУРАН,,Onega,Russia,KM(*) L4 [1] R3 passenger ship,,Passenger unberthed,30/04/1978,Russia,,,,57 MK-1969,23 MK-1969,11.000 t.,66 t.,21.32 m.,21.32 m.,18.31 m.,5.32 m.,2.62 m.,1.58 m.,9.5,Diesel,Built ME: 2012 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 1,,,,,"Automatic identification system with GLONASS Magnetic compass Radar Search and Rescue Radar Transpoder, AIS Search and Rescue VHF radio-telephone station",,,,,1,4,0,47,0,,,,0,,0 m3,,70,Cat1,15.0,"MUNICIPAL INSTITUTION ""ADMINISTRATION OF THE"" ONEGA ""  Address: Russia, 164840, Arkhangelskaya oblast, Onega, ul. Sharevskogo, 4 IMO: Email: ONEZHSKOE@YANDEX.RU Company Website:","MUNICIPAL INSTITUTION ""ADMINISTRATION OF THE"" ONEGA ""  Address: Russia, 164840, Arkhangelskaya oblast, Onega, ul. Sharevskogo, 4 IMO: Email: ONEZHSKOE@YANDEX.RU Company Website:","Индивидуальный предприниматель Цурко Елена Юрьевна  Address: Russia, 164840 Arkhangelskaya obl., g.Onega, ul.Mulina, 30 IMO: Email: stavrosonega@gmail.com Company Website:",,
108,JALGAN-6,140067,,,JALGAN-6,Baku,Azerbaijan,KM* R3,,Tender,07/07/1980,Russia,,,,40,0,12.000 t.,0 t.,21.00 m.,21.00 m.,0.00 m.,3.00 m.,2.00 m.,0.00 m.,0.0,Diesel,"Built ME: 2003 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*118 Mark ME: 3D6S",,1 - Fixed pitched solid propeller,4,1* 11,,,,,Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Digital selective calling receiver Magnetic compass VHF Radioinstallation (VHF radio-telephone station with digital selective calling),,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:","""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,,
109,GARADAG-15,140096,,,4JAN,Baku,Azerbaijan,KM(*) L3 R2 tug,,Tug,23/07/1991,Russia,,,,78,0,15.000 t.,0 t.,23.00 m.,23.40 m.,0.00 m.,5.00 m.,2.00 m.,0.00 m.,0.0,Diesel,Built ME: 1990 Country Construction: Russia The company has built ME: DALDIESEL-DV LTD The number and power of ME: 1*232 Mark ME: 8CHNSP 18/22-1,,1 - Fixed pitched solid propeller,4,1* 14 1* 15,,,,,"Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:","""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,,
110,ORION-25,140004,,,ORION-25,Baku,Azerbaijan,KM(*) [1] R3,,Diving vessel,15/04/1989,Russia,,,,35,0,7.000 t.,0 t.,21.00 m.,21.00 m.,21.00 m.,4.00 m.,2.00 m.,0.00 m.,0.0,Diesel,"Built ME: 2004 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*220 Mark ME: 3D12 A",,1 - Fixed pitched solid propeller,4,1* 24,,,,,Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Digital selective calling receiver Magnetic compass Radio navigation system receiver VHF Radioinstallation (VHF radio-telephone station with digital selective calling),,,,,0,0,0,0,0,,,,0,Diesel oil,0 m3,,0,,0.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:","""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,,
111,JALGAN-8,140012,,,JALGAN-8,Baku,Azerbaijan,KM* R3,,Tender,01/01/1982,Russia,,,,40,0,5.000 t.,0 t.,21.00 m.,-,0.00 m.,3.00 m.,2.00 m.,0.00 m.,0.0,Diesel,"Built ME: 2004 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 3D6S",,1 - Fixed pitched solid propeller,4,,,,,,COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass VHF Radioinstallation (VHF radio-telephone station with digital selective calling),,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:","""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,,
112,ORION-26,140191,,,ORION-26,Baku,Azerbaijan,KM(*) [1] R3,,Diving vessel,25/09/1989,Russia,,,,35,0,7.000 t.,0 t.,21.00 m.,21.00 m.,19.46 m.,4.00 m.,2.20 m.,1.19 m.,0.0,Diesel,"Built ME: 1988 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: G-70-5",,1 - Fixed pitched solid propeller,4,1* 14,,,,,COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass VHF Radioinstallation (VHF radio-telephone station with digital selective calling),,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,,,
113,АГАТ,185199,,,,Tuapse,Russia,(KM)* R3,,Workboat,26/02/2004,,,,,7,0,1.000 t.,0 t.,8.00 m.,-,0.00 m.,3.00 m.,1.00 m.,0.00 m.,0.0,Diesel,,,,0,,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""TUAPSE COMMERCIAL SEA PORT"", JOINT-STOCK COMPANY  Address: Russia, 352800 Krasnodarskiy kr., Tuapse, Morskoy b-r, d. 2 IMO: 1683638 Email: port.tuapse@tmtp.ru Company Website:",,,,
114,B.B.1,185224,,,,Novorossiysk,Russia,KM* R3 tug,,Tug,22/03/2010,United Arab Emirates,502932,,,17,5,6.000 t.,0 t.,12.14 m.,-,10.44 m.,3.84 m.,2.00 m.,1.48 m.,0.0,Diesel,Built ME: 2008 Country Construction: United States of America The company has built ME: The number and power of ME: 1*123 Mark ME: 3056 TA/CBuilt ME: 2009 Country Construction: United States of America The company has built ME: The number and power of ME: 1*12 Mark ME: 3056 TA/C,,2 - Fixed pitched solid propeller,4,,,,,,"Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,3,0,0,0,,,,3,,0 m3,,0,,12.5,"SMIT LAMNALCO SINGAPORE PTE LTD  Address: 23, Gul Road, Singapore 629356, Singapore IMO: 1533866 Email: company.singapore@smit.com Company Website:",,"LAMNAL Co., LTD  Address: Russia, 353900 Krasnodarskiy kray, Novorossiysk, ul. Mira, d. 24, etazh 3 IMO: Email: info@smitlamnalco.ru Company Website:",,
